,id,fecha,documento,concepto,fecha_indicativa,valor,documento__id,receipt_type,vinculo__id,periodo
24,119,2024-03-01,Recibo X 0001-00000011,,2024-02-28,-1000.00,26,Recibo X,59.0,2024-02
25,117,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,57.0,2024-02
26,116,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,55.0,2024-02
27,115,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,53.0,2024-02
28,114,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,51.0,2024-02
29,113,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,49.0,2024-02
30,112,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,47.0,2024-02
31,111,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,45.0,2024-02
32,110,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,43.0,2024-02
33,109,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,41.0,2024-02
34,108,2024-03-01,Nota de Credito X 0001-00000002,,2024-02-28,-1000.00,25,Nota de Credito X,39.0,2024-02
35,106,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,37.0,2024-02
36,105,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,35.0,2024-02
37,104,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,33.0,2024-02
38,103,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,31.0,2024-02
39,102,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,29.0,2024-02
40,101,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,27.0,2024-02
41,100,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,25.0,2024-02
42,99,2024-03-01,Recibo X 0001-00000010,,2024-02-28,-1000.00,24,Recibo X,23.0,2024-02
43,98,2024-03-01,Recibo X 0001-00000010,,2024-03-01,-2000.00,24,Recibo X,85.0,2024-03
44,97,2024-03-01,Recibo X 0001-00000010,,2024-03-01,-20.00,24,Recibo X,83.0,2024-03
45,96,2024-03-01,Recibo X 0001-00000010,,2024-03-01,-5.00,24,Recibo X,77.0,2024-03
46,95,2024-03-01,Recibo X 0001-00000009,,2024-03-01,10000.00,23,Recibo X,82.0,2024-03
47,94,2024-03-01,Recibo X 0001-00000009,,2024-03-01,-10000.00,23,Recibo X,89.0,2024-03
48,93,2024-03-01,Recibo X 0001-00000008,,2024-03-01,40000.00,22,Recibo X,82.0,2024-03
49,92,2024-03-01,Recibo X 0001-00000008,,2024-03-01,-20000.00,22,Recibo X,87.0,2024-03
50,91,2024-03-01,Recibo X 0001-00000008,,2024-03-01,-20000.00,22,Recibo X,75.0,2024-03
51,89,2024-03-01,Factura X 0001-00000013,,2024-03-01,10000.00,21,Factura X,,2024-03
52,87,2024-03-01,Factura X 0001-00000012,,2024-03-01,20000.00,20,Factura X,,2024-03
53,85,2024-03-01,Factura X 0001-00000011,,2024-03-01,2000.00,19,Factura X,,2024-03
54,83,2024-03-01,Factura X 0001-00000010,,2024-03-01,20.00,18,Factura X,,2024-03
55,82,2024-03-01,Recibo X 0001-00000007,,2024-03-01,-50000.00,17,Recibo X,,2024-03
56,80,2024-03-01,Recibo X 0001-00000006,,2024-03-01,50000.00,16,Recibo X,18.0,2024-03
57,79,2024-03-01,Recibo X 0001-00000006,,2024-02-28,-50000.00,16,Recibo X,21.0,2024-02
58,77,2024-03-01,Factura X 0001-00000009,,2024-03-01,5.00,15,Factura X,,2024-03
59,75,2024-03-01,Factura X 0001-00000008,,2024-03-01,20000.00,14,Factura X,,2024-03
60,73,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
61,71,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
62,69,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
63,67,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
64,65,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
65,63,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
66,61,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
67,59,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
68,57,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
69,55,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
70,53,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
71,51,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
72,49,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
73,47,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
74,45,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
75,43,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
76,41,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
77,39,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
78,37,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
79,35,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
80,33,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
81,31,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
82,29,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
83,27,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
84,25,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
85,23,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
86,21,2024-02-28,Factura X 0001-00000005,,2024-02-28,50000.00,11,Factura X,,2024-02
87,19,2024-02-28,Nota de Credito X 0001-00000001,,2024-02-27,-20000.00,10,Nota de Credito X,15.0,2024-02
88,18,2024-02-27,Recibo X 0001-00000005,,2024-02-27,-50000.00,9,Recibo X,,2024-02
89,15,2024-02-27,Factura X 0001-00000004,,2024-02-27,20000.00,8,Factura X,,2024-02
90,14,2024-02-27,Recibo X 0001-00000004,,2024-02-27,20000.00,7,Recibo X,10.0,2024-02
91,13,2024-02-27,Recibo X 0001-00000004,,2024-02-27,-20000.00,7,Recibo X,11.0,2024-02
92,11,2024-02-27,Factura X 0001-00000003,,2024-02-27,20000.00,6,Factura X,,2024-02
93,10,2024-02-27,Recibo X 0001-00000003,,2024-02-27,-20000.00,5,Recibo X,,2024-02
94,7,2024-02-27,Recibo X 0001-00000002,,2024-02-27,-1000.00,4,Recibo X,5.0,2024-02
95,5,2024-02-27,Factura X 0001-00000002,,2024-02-27,1000.00,3,Factura X,,2024-02
96,3,2024-02-27,Recibo X 0001-00000001,,2024-02-27,-10000.00,2,Recibo X,1.0,2024-02
97,1,2024-02-27,Factura X 0001-00000001,,2024-02-27,10000.00,1,Factura X,,2024-02
